nome,link,inicio,duracao
"La La La - Y2K",https://www.youtube.com/watch?v=N2Y2vQ-1m7M,100,15
Meu namorado é maior otário – MC Carol,https://www.youtube.com/watch?v=vPh-GPz2rWs,35,15
